Token Symbol|Swap|Token Contract|LP Pair Contract
BNT|UNI|0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c|0x3fd4cf9303c4bc9e13772618828712c8eac7dd2f
ANKR|UNI|0x8290333cef9e6d528dd5618fb97a76f268f3edd4|0x5201883feeb05822ce25c9af8ab41fc78ca73fa9
UBT|UNI|0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e|0xb27de0ba2abfbfdf15667a939f041b52118af5ba
FTM|UNI|0x4e15361fd6b4bb609fa63c81a2be19d873717870|0x1ffc57cada109985ad896a69fbcebd565db4290e
AGI|UNI|0x8eb24319393716668d768dcec29356ae9cffe285|0x3d2d3c4446e8a82445418523b9b5b376765e55a8
POLY|UNI|0x9992ec3cf6a55b00978cddf2b27bc6882d88d1ec|0xc03c6f5d6c5bf2959a4e74e10fd916b5b50bf102
ELF|UNI|0xbf2179859fc6d5bee9bf9158632dc51678a4100e|0xa6be7f7c6c454b364cda446ea39be9e5e4369de8
DNT|UNI|0x0abdace70d3790235af448c88547603b945604ea|0xb062fcbb48154fd385f104b38a2f9f3ffd82ffe0
PNK|UNI|0x93ed3fbe21207ec2e8f2d3c3de6e058cb73bc04d|0x343fd171caf4f0287ae6b87d75a8964dc44516ab
HXRO|UNI|0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3|0xd64224a4c2bed96c75df9517b2d77aebb13f0e37
TRB|UNI|0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5|0x70258aa9830c2c84d855df1d61e12c256f6448b4
NPXS|UNI|0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3|0x5d81b25054833fdfa023a1c46ad9dc2cdb8eaddf
wZEC|UNI|0x4a64515e5e1d1073e83f30cb97bed20400b66e10|0x2590f6b37796f192a93db7206b7b6158e89c9e5e
CORE|UNI|0x62359ed7505efc61ff1d56fef82158ccaffa23d7|0x32ce7e48debdccbfe0cd037cc89526e4382cb81b
MUSD|UNI|0xe2f2a5c287993345a840db3b0845fbc70f5935a5|0xfa28af6be3649e90ed76b8269db65b236f716fbe
